dataset,llm,n_train_shot,seed,acc,running_time
wiki-zh,/data/llmweights/gpt2-xl,4,1,0.33487565066512437,1.1129672527313232
wiki-zh,/data/llmweights/gpt2-xl,4,2,0.5118565644881434,1.0567657947540283
wiki-zh,/data/llmweights/gpt2-xl,4,3,0.44476576055523426,0.9658582210540771
wiki-zh,/data/llmweights/gpt2-xl,4,4,0.7160208212839791,1.0185775756835938
wiki-zh,/data/llmweights/gpt2-xl,4,5,0.6281087333718912,0.9748642444610596
wiki-zh,/data/llmweights/gpt2-xl,8,1,0.5101214574898786,1.2197284698486328
wiki-zh,/data/llmweights/gpt2-xl,8,2,0.33487565066512437,1.2282485961914062
wiki-zh,/data/llmweights/gpt2-xl,8,3,0.4008097165991903,1.370513677597046
wiki-zh,/data/llmweights/gpt2-xl,8,4,0.5477154424522845,1.1322436332702637
wiki-zh,/data/llmweights/gpt2-xl,8,5,0.6830537883169462,1.2745587825775146
wiki-zh,/data/llmweights/gpt2-xl,16,1,0.33487565066512437,1.3446393013000488
wiki-zh,/data/llmweights/gpt2-xl,16,2,0.7108155002891845,1.372406005859375
wiki-zh,/data/llmweights/gpt2-xl,16,3,0.33371891266628106,1.1457798480987549
wiki-zh,/data/llmweights/gpt2-xl,16,4,0.5413533834586466,1.1736056804656982
wiki-zh,/data/llmweights/gpt2-xl,16,5,0.42278773857721225,1.2504582405090332
wiki-zh,/data/llmweights/gpt2-xl,32,1,0.33487565066512437,1.5512256622314453
wiki-zh,/data/llmweights/gpt2-xl,32,2,0.33487565066512437,1.2659411430358887
wiki-zh,/data/llmweights/gpt2-xl,32,3,0.35106998264893,1.3485257625579834
wiki-zh,/data/llmweights/gpt2-xl,32,4,0.33487565066512437,1.5781745910644531
wiki-zh,/data/llmweights/gpt2-xl,32,5,0.3342972816657027,1.2870187759399414
wiki-zh,/data/llmweights/gpt2-xl,64,1,0.3342972816657027,1.296372413635254
wiki-zh,/data/llmweights/gpt2-xl,64,2,0.6813186813186813,1.3126788139343262
wiki-zh,/data/llmweights/gpt2-xl,64,3,0.33545401966454597,1.303300142288208
wiki-zh,/data/llmweights/gpt2-xl,64,4,0.686524002313476,1.4430949687957764
wiki-zh,/data/llmweights/gpt2-xl,64,5,0.33487565066512437,1.6481704711914062
wiki-zh,/data/llmweights/gpt2-xl,128,1,0.3342972816657027,1.793116569519043
wiki-zh,/data/llmweights/gpt2-xl,128,2,0.3342972816657027,1.5876994132995605
wiki-zh,/data/llmweights/gpt2-xl,128,3,0.33487565066512437,1.5086109638214111
wiki-zh,/data/llmweights/gpt2-xl,128,4,0.6657027183342973,1.521132230758667
wiki-zh,/data/llmweights/gpt2-xl,128,5,0.41526894158473104,1.3958570957183838
