dataset,llm,n_train_shot,n_demo_shot,n_anchor_shot,seed,knn,acc,running_time
wiki-zh,/data/llmweights/gpt2-xl,4,1,3,1,3,0.6541353383458647,3.489004611968994
wiki-zh,/data/llmweights/gpt2-xl,4,1,3,2,3,0.5610179294389821,5.355014801025391
wiki-zh,/data/llmweights/gpt2-xl,4,1,3,3,3,0.7044534412955465,5.362082242965698
wiki-zh,/data/llmweights/gpt2-xl,4,1,3,4,3,0.6813186813186813,2.8319852352142334
wiki-zh,/data/llmweights/gpt2-xl,4,1,3,5,3,0.6176980913823019,2.452573537826538
wiki-zh,/data/llmweights/gpt2-xl,8,1,7,1,3,0.41295546558704455,2.8287734985351562
wiki-zh,/data/llmweights/gpt2-xl,8,1,7,2,3,0.5962984384037016,2.8649775981903076
wiki-zh,/data/llmweights/gpt2-xl,8,1,7,3,3,0.5835743204164257,3.5412912368774414
wiki-zh,/data/llmweights/gpt2-xl,8,1,7,4,3,0.5853094274146906,2.7683889865875244
wiki-zh,/data/llmweights/gpt2-xl,8,1,7,5,3,0.5471370734528629,3.041017770767212
wiki-zh,/data/llmweights/gpt2-xl,16,1,15,1,3,0.5748987854251012,3.5638835430145264
wiki-zh,/data/llmweights/gpt2-xl,16,1,15,2,3,0.6414112203585888,2.828514575958252
wiki-zh,/data/llmweights/gpt2-xl,16,1,15,3,3,0.6668594563331406,3.264261484146118
wiki-zh,/data/llmweights/gpt2-xl,16,1,15,4,3,0.4898785425101215,3.374284029006958
wiki-zh,/data/llmweights/gpt2-xl,16,1,15,5,3,0.5523423944476576,3.6514229774475098
wiki-zh,/data/llmweights/gpt2-xl,32,1,31,1,3,0.5974551764025449,4.349095582962036
wiki-zh,/data/llmweights/gpt2-xl,32,1,31,2,3,0.5870445344129555,4.922638893127441
wiki-zh,/data/llmweights/gpt2-xl,32,1,31,3,3,0.6055523423944477,5.22750449180603
wiki-zh,/data/llmweights/gpt2-xl,32,1,31,4,3,0.5621746674378253,5.649837255477905
wiki-zh,/data/llmweights/gpt2-xl,32,1,31,5,3,0.5245806824754193,5.157175064086914
wiki-zh,/data/llmweights/gpt2-xl,64,1,63,1,3,0.573742047426258,11.119746923446655
wiki-zh,/data/llmweights/gpt2-xl,64,1,63,2,3,0.6217466743782534,10.426706552505493
wiki-zh,/data/llmweights/gpt2-xl,64,1,63,3,3,0.6038172353961828,9.741101264953613
wiki-zh,/data/llmweights/gpt2-xl,64,1,63,4,3,0.5766338924233662,9.92026948928833
wiki-zh,/data/llmweights/gpt2-xl,64,1,63,5,3,0.5957200694042799,11.060590982437134
wiki-zh,/data/llmweights/gpt2-xl,128,1,127,1,3,0.5882012724117988,51.16084432601929
wiki-zh,/data/llmweights/gpt2-xl,128,1,127,2,3,0.6205899363794101,59.47116994857788
wiki-zh,/data/llmweights/gpt2-xl,128,1,127,3,3,0.5795257374204743,59.374244928359985
wiki-zh,/data/llmweights/gpt2-xl,128,1,127,4,3,0.5928282244071718,57.59829020500183
wiki-zh,/data/llmweights/gpt2-xl,128,1,127,5,3,0.5928282244071718,53.976425886154175
